Course Title,TermCode,Period,Teacher,Abs1,SISNumber,Grade,Comment1
Advisory,Q2,1,"Nelson, Matthew",22,550127,P,
Advisory,Q2,1,"Nelson, Matthew",13,717118,P,
Advisory,Q2,1,"Nelson, Matthew",10,551404,P,
Advisory,Q2,1,"Nelson, Matthew",13,677110,P,
Advisory,Q2,1,"Nelson, Matthew",16,622102,P,
Advisory,Q2,1,"Nelson, Matthew",5,529105,P,
Advisory,Q2,1,"Nelson, Matthew",7,778650,P,
Advisory,Q2,1,"Nelson, Matthew",11,751480,P,
Advisory,Q2,1,"Nelson, Matthew",28,450746,NP,
Advisory,Q2,1,"Nelson, Matthew",16,647770,P,
Advisory,Q2,1,"Nelson, Matthew",31,600576,P,
Advisory,Q2,1,"Nelson, Matthew",10,652193,P,
Advisory,Q2,1,"Nelson, Matthew",2,586526,P,
Advisory,Q2,1,"Nelson, Matthew",21,660613,P,
Advisory,Q2,1,"Nelson, Matthew",13,660430,P,
Advisory,Q2,1,"Nelson, Matthew",20,656307,P,
Advisory,Q2,1,"Nelson, Matthew",27,622623,NP,
Advisory,Q2,1,"Nelson, Matthew",23,657629,P,
C: Survey of Functions Q2,Q2,2,"Nelson, Matthew",8,804244,NG,
C: Survey of Functions Q2,Q2,2,"Nelson, Matthew",9,626557,B,
C: Survey of Functions Q2,Q2,2,"Nelson, Matthew",19,571944,F,A110 - Concern: missing daily work
C: Survey of Functions Q2,Q2,2,"Nelson, Matthew",17,655807,F,A110 - Concern: missing daily work
C: Survey of Functions Q2,Q2,2,"Nelson, Matthew",14,773644,F,A110 - Concern: missing daily work
C: Survey of Functions Q2,Q2,2,"Nelson, Matthew",12,534468,D,
C: Survey of Functions Q2,Q2,2,"Nelson, Matthew",16,647010,B,
C: Survey of Functions Q2,Q2,2,"Nelson, Matthew",4,742241,A,
C: Survey of Functions Q2,Q2,2,"Nelson, Matthew",27,656290,C,
C: Survey of Functions Q2,Q2,2,"Nelson, Matthew",29,626506,D,
C: Survey of Functions Q2,Q2,2,"Nelson, Matthew",11,597848,C,
C: Survey of Functions Q2,Q2,2,"Nelson, Matthew",10,647770,C,
C: Survey of Functions Q2,Q2,2,"Nelson, Matthew",35,764982,D,
C: Survey of Functions Q2,Q2,2,"Nelson, Matthew",17,604668,F,A110 - Concern: missing daily work
C: Survey of Functions Q2,Q2,2,"Nelson, Matthew",15,600391,B,
C: Survey of Functions Q2,Q2,2,"Nelson, Matthew",18,626492,A,
C: Survey of Functions Q2,Q2,2,"Nelson, Matthew",15,656307,C,
C: Survey of Functions Q2,Q2,2,"Nelson, Matthew",18,797957,F,A110 - Concern: missing daily work
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",11,551404,B,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",1,617650,B,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",3,647008,B,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",4,652070,B,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",20,803434,F,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",15,622775,F,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",0,625896,B,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",13,676906,B,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",26,450746,F,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",26,654611,F,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",18,658926,A,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",1,586526,F,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",13,567990,B,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",11,658084,F,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",29,649631,C,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",12,634852,C,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",16,752117,B,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",3,669379,F,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",20,751284,F,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",24,558625,C,
C: Survey of Functions Q2,Q2,3,"Nelson, Matthew",22,657629,F,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",14,717118,D,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",19,622102,C,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",16,740796,A,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",7,605118,B,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",3,768014,C,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",2,661833,D,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",18,690228,F,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",8,751480,C,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",7,655970,A,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",23,649699,F,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",10,604839,F,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",0,803460,A,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",4,721571,A,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",16,685415,F,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",15,626586,F,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",8,801012,B,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",16,660613,B,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",13,660430,C,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",1,681181,C,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",11,779313,A,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",27,698398,F,
A: Functions/Linear Equations Q2,Q2,4,"Nelson, Matthew",4,689565,A,
C: Survey of Functions Q2,Q2,5,"Nelson, Matthew",4,529105,A,
C: Survey of Functions Q2,Q2,5,"Nelson, Matthew",11,571084,B,
C: Survey of Functions Q2,Q2,5,"Nelson, Matthew",5,515638,F,
C: Survey of Functions Q2,Q2,5,"Nelson, Matthew",5,811707,NG,
C: Survey of Functions Q2,Q2,5,"Nelson, Matthew",22,572385,B,
C: Survey of Functions Q2,Q2,5,"Nelson, Matthew",5,601703,A,
C: Survey of Functions Q2,Q2,5,"Nelson, Matthew",8,655529,A,
C: Survey of Functions Q2,Q2,5,"Nelson, Matthew",17,600576,A,
C: Survey of Functions Q2,Q2,5,"Nelson, Matthew",14,654871,F,
C: Survey of Functions Q2,Q2,5,"Nelson, Matthew",7,626678,F,
C: Survey of Functions Q2,Q2,5,"Nelson, Matthew",14,658952,B,
C: Survey of Functions Q2,Q2,5,"Nelson, Matthew",6,538524,D,
C: Survey of Functions Q2,Q2,5,"Nelson, Matthew",8,716407,D,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",0,570270,A,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",25,677110,F,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",2,617075,A,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",3,768014,A,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",17,655807,B,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",11,660139,A,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",13,571084,B,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",8,655970,A,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",26,676906,A,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",19,559641,C,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",5,653718,A,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",13,654871,D,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",16,516203,B,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",15,660613,C,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",10,600391,B,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",31,759846,A,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",24,622623,C,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",13,559960,B,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",20,751575,C,
Personal Growth/Life Skills,Q2,7,"Nelson, Matthew",29,698398,F,
Technology 101,Q2,8,"Nelson, Matthew",16,750646,A,
Technology 101,Q2,8,"Nelson, Matthew",17,740796,A,
Technology 101,Q2,8,"Nelson, Matthew",0,617650,C,
Technology 101,Q2,8,"Nelson, Matthew",2,654331,A,
Technology 101,Q2,8,"Nelson, Matthew",6,515638,A,
Technology 101,Q2,8,"Nelson, Matthew",22,512657,F,
Technology 101,Q2,8,"Nelson, Matthew",6,811707,NG,S106 - New student: no grade
Technology 101,Q2,8,"Nelson, Matthew",23,690228,B,
Technology 101,Q2,8,"Nelson, Matthew",10,652070,A,
Technology 101,Q2,8,"Nelson, Matthew",29,649699,F,
Technology 101,Q2,8,"Nelson, Matthew",15,655529,A,
Technology 101,Q2,8,"Nelson, Matthew",26,550778,A,
Technology 101,Q2,8,"Nelson, Matthew",12,604839,F,
Technology 101,Q2,8,"Nelson, Matthew",5,570168,B,
Technology 101,Q2,8,"Nelson, Matthew",20,652193,A,
Technology 101,Q2,8,"Nelson, Matthew",4,622423,D,
Technology 101,Q2,8,"Nelson, Matthew",7,620439,A,
Technology 101,Q2,8,"Nelson, Matthew",13,532568,A,
Technology 101,Q2,8,"Nelson, Matthew",20,626492,A,
Technology 101,Q2,8,"Nelson, Matthew",27,622623,D,
Technology 101,Q2,8,"Nelson, Matthew",9,560619,B,
