Course Title,Section ID,TermCode,Period,Teacher,Abs1,SISNumber,Grade
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",9,717118,P
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",22,622102,P
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",24,529105,P
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",37,622562,P
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",34,751480,P
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",19,663205,P
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",29,450746,P
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",6,647770,P
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",18,816925,P
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",16,626678,P
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",39,586526,P
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",20,692407,P
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",11,660613,P
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",19,660430,P
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",27,656307,P
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",40,599784,NP
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",6,721061,P
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",36,657629,P
Advisory,0813Q-2AB-NEL,Q2,1,"Nelson, Matthew",17,698398,P
C: Survey of Functions Q1,2003SQ1-A-P5B,Q2,5,"Nelson, Matthew",26,768014,D
C: Survey of Functions Q1,2003SQ1-A-P5B,Q2,5,"Nelson, Matthew",28,811704,D
C: Survey of Functions Q1,2003SQ1-A-P5B,Q2,5,"Nelson, Matthew",18,604338,C
C: Survey of Functions Q1,2003SQ1-A-P5B,Q2,5,"Nelson, Matthew",12,674111,A
C: Survey of Functions Q1,2003SQ1-A-P5B,Q2,5,"Nelson, Matthew",32,649699,D
C: Survey of Functions Q1,2003SQ1-A-P5B,Q2,5,"Nelson, Matthew",29,604839,D
C: Survey of Functions Q1,2003SQ1-A-P5B,Q2,5,"Nelson, Matthew",36,652248,NG
C: Survey of Functions Q1,2003SQ1-A-P5B,Q2,5,"Nelson, Matthew",15,801012,C
C: Survey of Functions Q1,2003SQ1-A-P5B,Q2,5,"Nelson, Matthew",32,572000,D
C: Survey of Functions Q1,2003SQ1-A-P5B,Q2,5,"Nelson, Matthew",17,698398,C
C: Survey of Functions Q2,2003SQ2-A-P5B,Q2,5,"Nelson, Matthew",26,768014,D
C: Survey of Functions Q2,2003SQ2-A-P5B,Q2,5,"Nelson, Matthew",28,811704,D
C: Survey of Functions Q2,2003SQ2-A-P5B,Q2,5,"Nelson, Matthew",18,604338,C
C: Survey of Functions Q2,2003SQ2-A-P5B,Q2,5,"Nelson, Matthew",12,674111,A
C: Survey of Functions Q2,2003SQ2-A-P5B,Q2,5,"Nelson, Matthew",32,649699,D
C: Survey of Functions Q2,2003SQ2-A-P5B,Q2,5,"Nelson, Matthew",29,604839,D
C: Survey of Functions Q2,2003SQ2-A-P5B,Q2,5,"Nelson, Matthew",36,652248,NG
C: Survey of Functions Q2,2003SQ2-A-P5B,Q2,5,"Nelson, Matthew",15,801012,C
C: Survey of Functions Q2,2003SQ2-A-P5B,Q2,5,"Nelson, Matthew",32,572000,D
C: Survey of Functions Q2,2003SQ2-A-P5B,Q2,5,"Nelson, Matthew",17,698398,C
Personal Growth/Life Skills,0516PQ-2A-P6,Q2,6,"Nelson, Matthew",22,534468,D
Personal Growth/Life Skills,0516PQ-2A-P6,Q2,6,"Nelson, Matthew",24,647010,C
Personal Growth/Life Skills,0516PQ-2A-P6,Q2,6,"Nelson, Matthew",19,285066,C
Personal Growth/Life Skills,0516PQ-2A-P6,Q2,6,"Nelson, Matthew",15,735531,B
Personal Growth/Life Skills,0516PQ-2A-P6,Q2,6,"Nelson, Matthew",7,751481,C
Personal Growth/Life Skills,0516PQ-2A-P6,Q2,6,"Nelson, Matthew",16,666029,A
Personal Growth/Life Skills,0516PQ-2A-P6,Q2,6,"Nelson, Matthew",5,647770,A
Personal Growth/Life Skills,0516PQ-2A-P6,Q2,6,"Nelson, Matthew",4,682139,B
Personal Growth/Life Skills,0516PQ-2A-P6,Q2,6,"Nelson, Matthew",38,801859,NG
